Round Number,Date,Location,Home Team,Away Team
26,09/02/2019 15:00,John Smith's Stadium,Huddersfield,Arsenal
26,09/02/2019 15:00,Anfield,Liverpool,Bournemouth
26,09/02/2019 15:00,Etihad Stadium,Man City,Chelsea
26,09/02/2019 15:00,St. Mary's Stadium,Southampton,Cardiff
26,09/02/2019 15:00,Tottenham Hotspur Stadium,Tottenham,Leicester
26,09/02/2019 15:00,Vicarage Road,Watford,Everton
26,09/02/2019 15:00,Molineux Stadium,Wolves,Newcastle
27,23/02/2019 15:00,Emirates Stadium,Arsenal,Southampton
27,23/02/2019 15:00,Vitality Stadium,Bournemouth,Wolves
27,23/02/2019 15:00,Turf Moor,Burnley,Tottenham
27,23/02/2019 15:00,Cardiff City Stadium,Cardiff,Watford
27,23/02/2019 15:00,Stamford Bridge,Chelsea,Brighton
27,23/02/2019 15:00,Goodison Park,Everton,Man City
27,23/02/2019 15:00,King Power Stadium,Leicester,Crystal Palace
27,23/02/2019 15:00,Old Trafford,Man United,Liverpool
27,23/02/2019 15:00,St. James' Park,Newcastle,Huddersfield
27,23/02/2019 15:00,London Stadium,West Ham,Fulham
28,26/02/2019 19:45,Emirates Stadium,Arsenal,Bournemouth
28,26/02/2019 19:45,Cardiff City Stadium,Cardiff,Everton
28,26/02/2019 19:45,John Smith's Stadium,Huddersfield,Wolves
28,26/02/2019 19:45,King Power Stadium,Leicester,Brighton
28,26/02/2019 20:00,Selhurst Park,Crystal Palace,Man United
28,27/02/2019 19:45,Stamford Bridge,Chelsea,Tottenham
28,27/02/2019 19:45,St. James' Park,Newcastle,Burnley
28,27/02/2019 19:45,St. Mary's Stadium,Southampton,Fulham
28,27/02/2019 20:00,Anfield,Liverpool,Watford
28,27/02/2019 20:00,Etihad Stadium,Man City,West Ham
29,02/03/2019 15:00,Vitality Stadium,Bournemouth,Man City
29,02/03/2019 15:00,Amex Stadium,Brighton,Huddersfield
29,02/03/2019 15:00,Turf Moor,Burnley,Crystal Palace
29,02/03/2019 15:00,Goodison Park,Everton,Liverpool
29,02/03/2019 15:00,Craven Cottage,Fulham,Chelsea
29,02/03/2019 15:00,Old Trafford,Man United,Southampton
29,02/03/2019 15:00,Tottenham Hotspur Stadium,Tottenham,Arsenal
29,02/03/2019 15:00,Vicarage Road,Watford,Leicester
29,02/03/2019 15:00,London Stadium,West Ham,Newcastle
29,02/03/2019 15:00,Molineux Stadium,Wolves,Cardiff
30,09/03/2019 15:00,Emirates Stadium,Arsenal,Man United
30,09/03/2019 15:00,Cardiff City Stadium,Cardiff,West Ham
30,09/03/2019 15:00,Stamford Bridge,Chelsea,Wolves
30,09/03/2019 15:00,Selhurst Park,Crystal Palace,Brighton
30,09/03/2019 15:00,John Smith's Stadium,Huddersfield,Bournemouth
